Females,STATE,POPULATION,MALES,FEMALES,%Decadal Growth(2001 to 2011),sex ratio,Density(persons/sq km),child population(0 to 6),Child sex ratio(0 - 6),Literacy rate total,LR Males,LR Females
0,INDIA,1210193422,623724248,586469174,17.64,940,382,158789287,914,74.04,82.14,65.46
1,JAMMU AND KASHMIR,12548926,6665561,5883365,23.71,883,124,2008642,859,68.74,78.26,58.01
2,HIMACHAL PRADESH,6856509,3473892,3382617,12.81,974,123,763864,906,83.78,90.83,76.6
3,PUNJAB,27704236,14634819,13069417,13.73,893,550,2941570,846,76.68,81.48,71.34
4,CHANDIGARH,1054686,580282,474404,17.1,818,9252,117953,867,86.43,90.54,81.38
5,UTTARAKHAND,10116752,5154178,4962574,19.17,963,189,1328844,886,79.63,88.33,70.7
6,HARYANA,25353081,13505130,11847951,19.9,877,573,3297724,830,76.64,85.38,66.77
7,Delhi,16753235,8976410,7776825,20.96,866,11297,1970510,866,86.34,91.03,80.93
8,RAJASTHAN,68621012,35620086,33000926,21.44,926,201,10504916,883,67.06,80.51,52.66
9,UTTAR PRADESH,199581477,104596415,94985062,20.09,908,828,29728235,899,69.72,79.24,59.26
10,BIHAR,103804637,54185347,49619290,25.07,916,1102,18582229,933,63.82,73.39,53.33
11,SIKKIM,607688,321661,286027,12.36,889,86,61077,944,82.2,87.29,76.43
12,ARUNACHAL PRADESH,1382611,720232,662379,25.92,920,17,202759,960,66.95,73.69,59.57
13,NAGALAND,1980602,1025707,954895,-0.47,931,119,285981,944,80.11,83.29,76.69
14,MANIPUR,2721756,1369764,1351992,18.65,987,122,353237,934,79.85,86.49,73.17
15,MIZORAM,1091014,552339,538675,22.78,975,52,165536,971,91.58,93.72,89.4
16,TRIPURA,3671032,1871867,1799165,14.75,961,350,444055,953,87.75,92.18,83.15
17,MEGHALAYA,2964007,1492668,1471339,27.82,986,132,555822,970,75.48,77.17,73.78
18,ASSAM,31169272,15954927,15214345,16.93,954,397,4511307,957,73.18,78.81,67.27
19,WEST BENGAL,91347736,46927389,44420347,13.93,947,1029,10112599,950,77.08,82.67,71.16
20,JHARKHAND,32966238,16931688,16034550,22.34,947,414,5237582,943,67.63,78.45,56.21
21,ORISSA,41947358,21201678,20745680,13.97,978,269,5035650,934,73.45,82.4,64.36
22,CHHATTISGARH,25540196,12827915,12712281,22.59,991,189,3584028,964,71.04,81.45,60.59
23,MADHYA PRADESH,72597565,37612920,34984645,20.3,930,236,10548295,912,70.63,80.53,60.02
24,GUJARAT,60383628,31482282,28901346,19.17,918,308,7494176,886,79.31,87.23,70.73
25,DAMAN AND DIU,242911,150100,92811,53.54,618,2169,25880,909,87.07,91.48,79.59
26,DADRA AND NAGAR HAVELI,342853,193178,149675,55.5,775,698,49196,924,77.65,86.46,65.93
27,MAHARASHTRA,112372972,58361397,54011575,15.99,925,365,12848375,883,82.91,89.82,75.48
28,ANDHRA PRADESH,84665533,42509881,42155652,11.1,992,308,8642686,943,67.66,75.56,59.74
29,KARNATAKA,61130704,31057742,30072962,15.67,968,319,6855801,943,75.6,82.85,68.13
30,GOA,1457723,740711,717012,8.17,968,394,139495,920,87.4,92.81,81.84
31,LAKSHADWEEP#,64429,33106,31323,6.23,946,2013,7088,908,92.28,96.11,88.25
32,KERALA,33387677,16021290,17366387,4.86,1084,859,3322247,959,93.91,96.02,91.98
33,TAMIL,72138958,36158871,35980087,15.6,995,555,6894821,946,80.33,86.81,73.86
34,PUDUCHERRY#,1244464,610485,633979,27.72,1038,2598,127610,965,86.55,92.12,81.22
35,ANDAMAN AND NICOBAR,379944,202330,177614,6.68,878,46,39497,966,86.27,90.11,81.84
